50136	黑龙江	漠河	122.31	52.58
50137	黑龙江	北极村	122.22	53.28
50246	黑龙江	塔河	124.43	52.21
50247	黑龙江	呼中	123.34	52.02
50349	黑龙江	新林	124.24	51.4
50353	黑龙江	呼玛	126.38	51.44
50425	内蒙古	额尔古纳市	120.11	50.15
50431	内蒙古	根河市	121.31	50.47
50434	内蒙古	图里河	121.41	50.29
50442	黑龙江	加格达奇	124.07	50.24
50445	内蒙古	鄂伦春自治旗	123.44	50.35
50468	黑龙江	爱辉	127.27	50.15
50514	内蒙古	满洲里	117.19	49.35
50524	内蒙古	陈巴尔虎旗	119.26	49.19
50525	内蒙古	鄂温克族自治旗	119.45	49.09
50526	内蒙古	牙克石市	120.42	49.17
50527	内蒙古	海拉尔	119.42	49.15
50548	内蒙古	小二沟	123.43	49.12
50557	黑龙江	嫩江	125.14	49.1
50564	黑龙江	孙吴	127.21	49.26
50566	黑龙江	逊克	128.28	49.33
50603	内蒙古	新巴尔虎右旗	116.49	48.4
50618	内蒙古	新巴尔虎左旗	118.16	48.13
50639	内蒙古	扎兰屯	122.44	48
50645	内蒙古	莫力达瓦达斡尔族自治旗	124.29	48.29
50646	黑龙江	讷河	124.51	48.29
50647	内蒙古	阿荣旗	123.29	48.08
50655	黑龙江	五大连池	126.11	48.3
50656	黑龙江	北安	126.3	48.15
50658	黑龙江	克山	125.53	48.03
50659	黑龙江	克东	126.15	48.02
50673	黑龙江	嘉荫	130.24	48.53
50674	黑龙江	乌伊岭	129.26	48.34
50727	内蒙古	阿尔山	119.56	47.1
50739	黑龙江	龙江	123.11	47.2
50741	黑龙江	甘南	123.3	47.56
50742	黑龙江	富裕	124.29	47.48
50745	黑龙江	齐齐哈尔	123.55	47.23
50749	黑龙江	林甸	124.5	47.11
50750	黑龙江	依安	125.18	47.54
50755	黑龙江	拜泉	126.06	47.36
50756	黑龙江	海伦	126.58	47.27
50758	黑龙江	明水	125.54	47.11
50767	黑龙江	绥棱	127.06	47.14
50772	黑龙江	五营	129.14	48.06
50774	黑龙江	伊春	128.5	47.42
50775	黑龙江	鹤岗	130.12	47.2
50776	黑龙江	萝北	130.5	47.34
50778	黑龙江	同江	132.32	47.4
50779	黑龙江	抚远	134.17	48.22
50787	黑龙江	绥滨	131.5	47.19
50788	黑龙江	富锦	131.59	47.14
50834	内蒙古	索伦	121.13	46.36
50842	黑龙江	杜蒙	124.25	46.5
50844	黑龙江	泰来	123.27	46.24
50850	黑龙江	大庆	125.08	46.34
50851	黑龙江	青冈	126.05	46.41
50852	黑龙江	望奎	126.27	46.5
50853	黑龙江	北林	126.58	46.37
50854	黑龙江	安达	125.19	46.23
50858	黑龙江	肇东	125.56	46.04
50859	黑龙江	兰西	126.17	46.17
50861	黑龙江	庆安	127.29	46.53
50862	黑龙江	铁力	127.59	46.59
50867	黑龙江	巴彦	127.21	46.05
50871	黑龙江	汤原	129.53	46.44
50873	黑龙江	佳木斯	130.18	46.47
50877	黑龙江	依兰	129.35	46.18
50878	黑龙江	桦川	130.43	47
50879	黑龙江	桦南	130.33	46.13
50880	黑龙江	集贤	131.07	46.44
50884	黑龙江	双鸭山	131.09	46.38
50888	黑龙江	宝清	132.11	46.19
50892	黑龙江	饶河	134	46.48
50913	内蒙古	乌拉盖	118.5	45.43
50915	内蒙古	东乌珠穆沁	116.58	45.31
50924	内蒙古	霍林郭勒	119.4	45.32
50928	内蒙古	巴雅尔吐胡硕	120.2	45.04
50934	内蒙古	突泉	121.35	45.23
50936	吉林	白城	122.5	45.38
50937	内蒙古	科尔沁右翼中旗	121.29	45.04
50939	吉林	洮南	122.49	45.2
50940	吉林	镇赉	123.1	45.51
50945	吉林	大安	124.16	45.3
50946	吉林	松原	124.5	45.11
50948	吉林	乾安	124.01	45
50949	吉林	前郭	124.52	45.05
50950	黑龙江	肇州	125.15	45.42
50953	黑龙江	哈尔滨	126.34	45.56
50954	黑龙江	肇源	125.05	45.3
50956	黑龙江	呼兰	126.46	46.05
50958	黑龙江	阿城	126.56	45.32
50960	黑龙江	宾县	127.23	45.44
50962	黑龙江	木兰	128.02	45.57
50963	黑龙江	通河	128.44	45.58
50964	黑龙江	方正	128.48	45.5
50965	黑龙江	延寿	128.16	45.26
50968	黑龙江	尚志	127.58	45.13
50971	黑龙江	七台河	131.01	45.46
50973	黑龙江	勃利	130.36	45.45
50978	黑龙江	鸡西	130.55	45.18
50979	黑龙江	林口	130.14	45.16
50983	黑龙江	虎林	132.58	45.46
50985	黑龙江	密山	131.52	45.33
50987	黑龙江	鸡东	131.06	45.16
51053	新疆	哈巴河	86.24	48.03
51058	新疆	阿克达拉	87.58	47.06
51060	新疆	布尔津	86.52	47.42
51068	新疆	福海	87.28	47.07
51076	新疆	阿勒泰	88.05	47.44
51087	新疆	富蕴	89.31	46.59
51133	新疆	塔城	83	46.44
